ticker,sector,year,revenue_m,rev_growth_pct,gross_profit_m,gross_margin_pct,operating_income_m,net_income_m,eps_diluted,operating_cf_m,free_cash_flow_m,capex_m,total_debt_m,stockholders_equity_m,debt_equity,roe_pct,market_cap_m,pe_ratio,dividend_yield_pct
A,Other,2011,4481.0,,,,47.0,,-0.09,408.0,280.0,128.0,,3228.0,0.465,,,-245.7,
A,Other,2012,5444.0,0.2149,,,566.0,,1.94,718.0,597.0,121.0,,4308.0,0.059,,,13.5,0.1315
A,Other,2013,,,,,1071.0,,2.85,1260.0,1072.0,188.0,,5182.0,0.048,,,12.9,0.1146
A,Other,2014,,,,,1119.0,,3.27,1228.0,1034.0,194.0,,5286.0,,,,11.4,0.0913
A,Other,2015,3894.0,,,,386.0,,2.13,1152.0,957.0,195.0,,5301.0,,,,18.0,0.1609
A,Other,2016,4048.0,0.0395,,,419.0,,1.62,731.0,526.0,205.0,,4167.0,,,,26.1,0.1353
A,Other,2017,4038.0,-0.0025,,,522.0,,1.2,512.0,414.0,98.0,,4243.0,,,,52.3,0.1042
A,Other,2018,,,,,615.0,,1.4,793.0,654.0,139.0,,4831.0,0.043,,,45.6,0.1149
A,Other,2019,,,,,807.0,,2.1,889.0,713.0,176.0,,4567.0,,,,38.8,0.099
A,Other,2020,,,,,904.0,,0.97,1087.0,910.0,177.0,,4748.0,0.13,,35246.7,117.6,0.0568
A,Other,2021,,,,,941.0,,3.37,1021.0,866.0,155.0,,4873.0,0.015,,47298.96,45.9,0.0602
A,Other,2022,,,,,846.0,719.0,2.3,921.0,802.0,119.0,2729.0,5389.0,0.506,0.1334,44036.96,63.4,0.0876
A,Other,2023,,,,,1347.0,1210.0,3.94,1485.0,1297.0,188.0,2769.0,5305.0,0.522,0.2281,40281.25,34.6,0.0801
A,Other,2024,,,,,1618.0,1254.0,4.18,1312.0,1021.0,291.0,2735.0,5845.0,0.468,0.2145,38770.16,31.8,0.0864
A,Other,2025,6948.0,,,,1479.0,1303.0,4.57,1559.0,1152.0,407.0,3050.0,6741.0,0.4525,19.3295,,,
A,Other,2026,,,,,,,,,,,,,,,,,0.0447
AAPL,Information Technology,2011,,,17222.0,,11740.0,8235.0,9.08,10159.0,10159.0,,,22297.0,,0.3693,11105.08,1.3,
AAPL,Information Technology,2012,,,25684.0,,18385.0,14013.0,15.15,18595.0,18595.0,,,31640.0,,0.4429,14935.54,1.1,0.1413
AAPL,Information Technology,2013,,,43818.0,,33790.0,25922.0,27.68,37529.0,37529.0,,0.0,47791.0,,0.5424,16313.25,0.6,0.2912
AAPL,Information Technology,2014,,,68662.0,,55241.0,41733.0,6.31,,,,16960.0,76615.0,0.221,0.5447,153742.7,3.9,0.2267
AAPL,Information Technology,2015,,,64304.0,,48999.0,37037.0,5.68,,,8165.0,,118210.0,,0.3133,138962.61,4.2,0.2571
AAPL,Information Technology,2016,,,70537.0,,52503.0,39510.0,6.45,,,9571.0,,123549.0,,0.3198,148647.62,4.1,0.2511
AAPL,Information Technology,2017,,,93626.0,,71230.0,53394.0,9.22,81266.0,70019.0,11247.0,,111547.0,,0.4787,211092.3,4.3,0.1866
AAPL,Information Technology,2018,215639.0,,84263.0,0.3908,60024.0,45687.0,8.31,66231.0,53497.0,12734.0,,119355.0,,0.3828,191855.75,4.5,0.226
AAPL,Information Technology,2019,,,88186.0,,61344.0,48351.0,9.21,64225.0,51774.0,12451.0,,128249.0,,0.377,336273.96,7.7,0.129
AAPL,Information Technology,2020,,,101839.0,,70898.0,59531.0,2.98,77434.0,64121.0,13313.0,,134047.0,,0.4440999999999999,2291428.24,43.3,0.0751999999999999
AAPL,Information Technology,2021,,,98392.0,,63930.0,55256.0,2.97,69391.0,58896.0,10495.0,,107147.0,,0.5157,2947149.84,58.5,0.0598
AAPL,Information Technology,2022,,,104956.0,,66288.0,57411.0,3.28,80674.0,73365.0,7309.0,,90488.0,,0.6345000000000001,2098712.66,39.0,0.0855
AAPL,Information Technology,2023,,,152836.0,,108949.0,94680.0,5.61,104038.0,92953.0,11085.0,110087.0,65339.0,1.685,1.4491,3035230.75,33.9,0.0599
AAPL,Information Technology,2024,,,170782.0,,119437.0,99803.0,6.11,122151.0,111443.0,10708.0,105103.0,63090.0,1.666,1.5819,3869325.03,40.7,0.0476999999999999
AAPL,Information Technology,2025,416161.0,,195201.0,46.9052,133050.0,112010.0,7.46,111482.0,98767.0,12715.0,90678.0,73733.0,1.2298,151.913,,,
AAPL,Information Technology,2026,,,,,,,,,,,,,,,,,0.0205
ABBV,Health Care,2011,,,,,,,,,,,,,,,,,
ABBV,Health Care,2012,,,,,,,,,,,,,,,,,
ABBV,Health Care,2013,,,3017.0,,3620.0,,2.18,,,356.0,,-350.0,-2.914,,50704.68,14.7,0.5972
ABBV,Health Care,2014,,,3176.0,,5817.0,,3.35,,,333.0,,4492.0,0.092,,64860.56,12.3,0.4843
ABBV,Health Care,2015,,,3463.0,,5664.0,,2.56,,,491.0,,4492.0,0.095,,61105.63,15.0,0.6303
ABBV,Health Care,2016,,,4098.0,,3411.0,1774.0,1.1,,,612.0,,4492.0,0.09,0.3949,67342.39,38.4,0.648
ABBV,Health Care,2017,,,4589.0,,7537.0,5144.0,3.13,,,532.0,,1742.0,0.216,2.9529,109825.83,21.6,0.4545
ABBV,Health Care,2018,25638.0,,4922.0,0.192,9340.0,5953.0,3.63,,,479.0,,3945.0,0.101,1.509,108574.53,18.4,0.6436
ABBV,Health Care,2019,28216.0,0.1006,6007.0,0.2129,9545.0,5309.0,3.3,9960.0,9431.0,529.0,70932.0,4636.0,15.3,1.1452,108402.65,20.6,0.7562000000000001
ABBV,Health Care,2020,32753.0,0.1608,9174.0,0.2801,6383.0,5687.0,3.66,13427.0,12789.0,638.0,84948.0,-8172.0,-10.395,-0.6959000000000001,133678.81,23.7,0.6529
ABBV,Health Care,2021,33266.0,0.0157,10566.0,0.3176,12983.0,7882.0,5.28,13324.0,12772.0,552.0,75996.0,13076.0,5.812,0.6028,170132.94,21.8,0.5432
ABBV,Health Care,2022,45804.0,0.3769,10951.0,0.2391,11363.0,4616.0,2.72,17588.0,16790.0,798.0,63142.0,15408.0,4.098,0.2996,237474.83,52.4,0.4751
ABBV,Health Care,2023,56197.0,0.2269,8597.0,0.153,17924.0,11542.0,6.45,22777.0,21990.0,787.0,59246.0,17254.0,3.434,0.6689,251555.74,22.0,0.4999
ABBV,Health Care,2024,58054.0,0.033,10706.0,0.1844,18117.0,11836.0,6.63,24943.0,24248.0,695.0,66841.0,10360.0,6.452,1.1425,299165.64,25.5,0.4404
ABBV,Health Care,2025,16618.0,,12066.0,72.608,15075.0,1816.0,1.02,19030.0,17816.0,1214.0,64503.0,-3270.0,-19.7257,-55.5352,,,
ABBV,Health Care,2026,,,,,,,,,,,,,,,,,0.1921
ABNB,Other,2011,,,,,,,,,,,,,,,,,
ABNB,Other,2012,,,,,,,,,,,,,,,,,
ABNB,Other,2013,,,,,,,,,,,,,,,,,
ABNB,Other,2014,,,,,,,,,,,,,,,,,
ABNB,Other,2015,,,,,,,,,,,,,,,,,
ABNB,Other,2016,,,,,,,,,,,,,,,,,
ABNB,Other,2017,,,,,,,,,,,,,,,,,
ABNB,Other,2018,,,,,,,,,,,,,,,,,
ABNB,Other,2019,,,,,,,,,,,,,,,,,
ABNB,Other,2020,,,,,,,,,,,,,,,,,
ABNB,Other,2021,4805.24,,,,-501.54,-674.34,,222.73,97.28,125.45,2000.0,-517.31,-3.866,1.3036,43379.97,,
ABNB,Other,2022,3378.0,-0.297,,,-3590.0,-4585.0,,-740.0,-777.0,37.0,,-808.0,,5.6745,24282.0,,
ABNB,Other,2023,5992.0,0.7737999999999999,,,429.0,-352.0,,2313.0,2313.0,,,2901.0,,-0.1213,83862.24,,
ABNB,Other,2024,8399.0,0.4017,,,1802.0,1893.0,,3430.0,3430.0,,,4775.0,,0.3964,83708.17,,
ABNB,Other,2025,12241.0,,,,2544.0,2511.0,,4646.0,,,,8199.0,,30.6257,,,
ABNB,Other,2026,,,,,,,,,,,,,,,,,
ABT,Health Care,2011,,,3782.4,,6235.74,,0.92,,,1089.05,16455.44,23144.29,0.711,,31192.95,21.9,0.5367999999999999
ABT,Health Care,2012,,,4363.2,,6087.58,,0.64,,,1015.08,18918.8,22676.8,0.834,,37509.46,37.9,0.4771
ABT,Health Care,2013,,,2716.0,,1629.0,4728.0,3.01,8970.0,7479.0,1491.0,20476.0,26721.0,0.766,0.1769,46814.18,10.0,0.2235
ABT,Health Care,2014,,,2479.0,,1360.0,5963.0,3.72,9314.0,7519.0,1795.0,6561.0,25171.0,0.261,0.2369,56866.1,9.7,0.2925
ABT,Health Care,2015,,,2354.0,,2133.0,2576.0,1.62,3324.0,2179.0,1145.0,7830.0,21526.0,0.364,0.1197,57305.19,22.7,0.3132
ABT,Health Care,2016,,,2660.0,,2599.0,2284.0,1.49,3675.0,2598.0,1077.0,9001.0,21211.0,0.424,0.1077,48890.35,21.6,0.387
ABT,Health Care,2017,,,2601.0,,2867.0,4423.0,2.92,2966.0,1856.0,1110.0,22006.0,20538.0,1.071,0.2154,73346.55,16.8,0.2594
ABT,Health Care,2018,20853.0,,2751.0,0.1319,3026.0,1400.0,0.94,3203.0,2082.0,1121.0,27924.0,30897.0,0.904,0.0453,93460.16,67.3,0.2124
ABT,Health Care,2019,27390.0,0.3135,3739.0,0.1365,1564.0,477.0,0.27,5570.0,4435.0,1135.0,19566.0,30524.0,0.641,0.0156,134412.77,286.1,0.1988
ABT,Health Care,2020,30578.0,0.1164,,,3650.0,2368.0,1.33,6300.0,4906.0,1394.0,18139.0,31088.0,0.583,0.0762,173883.42,74.4,0.1747
ABT,Health Care,2021,31904.0,0.0434,,,4532.0,3687.0,2.06,6136.0,4498.0,1638.0,18747.0,32784.0,0.572,0.1125,228258.17,62.7,0.1673
ABT,Health Care,2022,34608.0,0.0848,,,5357.0,4495.0,2.5,7901.0,5724.0,2177.0,18050.0,35802.0,0.504,0.1256,181562.06,41.0,0.2203
ABT,Health Care,2023,43075.0,0.2447,,,8425.0,7071.0,3.94,10533.0,8648.0,1885.0,16773.0,36686.0,0.457,0.1927,185875.96,26.6,0.2338
ABT,Health Care,2024,43653.0,0.0134,,,8362.0,6933.0,3.91,9581.0,7804.0,1777.0,14679.0,38603.0,0.38,0.1796,192406.74,28.1,0.2405
